combined,true_label,predicted_label,confidence,uncertain_flag
"you can smell hillary s fear [SEP] daniel greenfield, a shillman journalism fellow at the freedom center, is a new york writer focusing on radical islam. in the final stretch of the election, hillary rodham clinton has gone to war with the fbi. the word unprecedented has been thrown around so often this election that it ought to be retired. but it s still unprecedented for the nominee of a major political party to go war with the fbi. but that s exactly what hillary and her people have done. coma patients just waking up now and watching an hour of cnn from their hospital beds would assume that fbi director james comey is hillary s opponent in this election. the fbi is under attack by everyone from obama to cnn. hillary s people have circulated a letter attacking comey. there are currently more media hit pieces lambasting him than targeting trump. it wouldn t be too surprising if the clintons or their allies were to start running attack ads against the fbi. the fbi s leadership is being warned that the entire left wing establishment will form a lynch mob if they continue going after hillary. and the fbi s credibility is being attacked by the media and the democrats to preemptively head off the results of the investigation of the clinton foundation and hillary clinton. the covert struggle between fbi agents and obama s doj people has gone explosively public. the new york times has compared comey to j. edgar hoover. its bizarre headline, james comey role recalls hoover s fbi, fairly or not practically admits up front that it s spouting nonsense. the boston globe has published a column calling for comey s resignation. not to be outdone, time has an editorial claiming that the scandal is really an attack on all women. james carville appeared on msnbc to remind everyone that he was still alive and insane. he accused comey of coordinating with house republicans and the kgb. and you thought the vast right wing conspiracy was a stretch. countless media stories charge comey w",REAL,FAKE,0.99974,False
"pentagon seeks another 6 billion for overseas troop deployments [SEP] 'budget amendment' for more troops in iraq, afghanistan the pentagon has announced it will file a budget amendment seeking another 6 billion in funding for the current fiscal year to pay for additional overseas troop deployments above and beyond what was already in the budget for this year. the 6 billion request comes as an urgent request from the pentagon, and would pay for additional ground troops in iraq, the additional troops left in afghanistan by stalling the drawdown, and to pay for escalated airstrikes around the world. pentagon comptroller mike mccord says the hope is to get the white house to approve submitting the request to congress before next week s election, with an eye at getting it added to the latest emergency spending bill, expected before early december. these emergency funding bills are the main way to get around spending caps, with congress deliberately funding the pentagon only for a portion of the year with money that, by the cap s reckoning, was the whole year s budget, then slipping emergency bills in afterwards to pay for the rest of the year, while pretending the caps still exist.",REAL,FAKE,0.999677,False
"ammon bundy s bodyguard sentenced in oregon standoff case [SEP] portland, ore., oct. 26 upi brian cavalier, the personal bodyguard of ammon bundy, on tuesday was sentenced to time served in custody, exactly 9 months, for his role in the 41 day oregon wildlife refuge standoff earlier this year. u.s. district judge anna j. brown delivered the sentence in a downtown portland federal courthouse. you ve fulfilled the custody provision of the sentence, brown told cavalier, who remains under u.s. marshals service custody while awaiting transfer to nevada where he faces federal charges from a 2014 armed standoff. cavalier pleaded guilty on june 29 to one charge of conspiring to prevent federal workers from the bureau of land management and the fish and wildlife service from carrying out official work through intimidation, threat or force, and one charge of possession of a firearm in a federal facility. cavalier will also face three years of post prison supervision that would begin after or occur concurrently with any supervision ordered by nevada should cavalier be sentenced in that case, the oregonian reports. bundy, his brother ryan bundy, and five others including cavalier were charged with conspiracy, while other defendants have been charged with theft of government property and carrying a firearm in a federal facility, oregon public broadcasting reports. the oregon incident began in early january in the town of burns, where protesters were voicing support for ranchers dwight hammond, 73, and his son steven, 46, who were convicted of arson in 2012 and served time in prison but whose sentences a court later ruled were too short. the protesters, led by bundy, would later occupy oregon s malheur national wildlife refuge in a tense 41 day standoff with federal authorities. bundy is the son of cliven bundy, a nevada rancher who gained international attention in 2014 after staging an armed standoff with federal authorities over a grazing dispute with the bureau of land manage",REAL,FAKE,0.999621,False
"hrc and the 2016 presidential election [SEP] the miami herald stated that the human rights campaign hrc endorses hilary rodham. clinton. the organization is also the largest lgbtq political group. the hrc has endorsed hillary clinton in the 2016 election. their new video advertisement features clinton s pledge to fight for the lgbt community s equality. the ad was also released days before the election on nov. 8. the video titled hillary clinton equality is about changing hearts and minds, was released in washington d.c., which is the hrc headquarters are located. the organization has a section of their website dedicated to the group s endorsement of the candidate. the hrc also stated that clinton has stood with the lgbtq community and the group will now stand with clinton. the hrc concluded by saying that clinton s fight is with the community and that what the hrc advocates. the hrc president chad griffin said that clinton has shown through her words and actions that she is dedicated to fighting for the rights of the lgbt community. he also stated that all of the progress the community has made is at stake in the 2016 presidential election as the hrc has endorsed a candidate in the 2016 election. griffin then continued to state that donald trump s campaign is filled with hateful language that will reverse the lgbtq movement s gains. he also said that clinton will tear down the walls of bigotry against people of alternative lifestyles. the hrc leader concluded by saying that it is very important that people who are pro equality voters for clinton in the next presidential election. breitbart stated that an artist from the art wing conspiracy group said a lot of trump supporters, especially amongst the lgbt community, are in the closet. the artistic group has painted several think different posters across the city of san francisco near the offices of twitter and clinton s campaign headquarters. the posters feature a rainbow apple logo with a silhouette of trump s face",REAL,FAKE,0.999562,False
"report obama to end cuban wet foot, dry foot policy breitbart [SEP] associated press the obama administration is ending the wet foot, dry foot policy that granted residency to cubans who arrived in the united states without visas. that s according to a senior administration official, who said the policy change was effective immediately. the official said the u. s. and cuba have spent several months negotiating the change, including an agreement from cuba to allow those turned away from the u. s. to return. the move comes about a week before president barack obama leaves office and is likely the last major change he will make to his overhaul of the u. s. relationship with cuba. the official insisted on anonymity in order to detail the policy ahead of an official announcement.",FAKE,REAL,0.999542,False
"armed dakota access contractor accused of trying to infiltrate water protectors [SEP] an armed dakota access security contractor confronted indigenous water protectors fighting the construction of an oil pipeline in north dakota. he had an assault rifle, which he pointed at the water protectors, and he wore a bandana over his face. he was arrested by the bureau of indian affairs police and later released without charge. in video aired by democracy now! , as host amy goodman described, the man carrying the rifle, who has been identified as kyle thompson, points a rifle at the protectors as he attempts to flee into the water. a standing rock sioux tribal member says he saw the man driving down highway 1806 toward the main resistance camp with an ar 15 rifle on the passenger side of his truck, goodman reported. protectors chased down his truck and then pursued him on foot in efforts to disarm him. protectors said inside the man s truck they found a dapl security id card and insurance papers listing his vehicle as insured by dapl. that s the dakota access pipeline, according to goodman. dallas goldtooth, an organizer with the indigenous environmental network, witnessed the encounter between the armed contractor and water protectors. he said on democracy now! it was a very terrifying moment for a lot of us watching, i mean, to see this man pulling an assault rifle at our water protectors. and i think that many blessings and gratitude to some of the military veterans within our security, from within our oceti sakowin camp, who stepped up to negotiate and to de escalate this man, to really talk to him to make sure that he did not hurt anybody, until the bureau of indian affairs police officers could show up. thompson appeared on the scene about the same time that hundreds of police with militarized equipment surrounded a newly formed camp called the 1851 treaty camp, which was setup by water protectors to reclaim unceded dakota territory affirmed as part of the standing ro",REAL,FAKE,0.999482,False
"biden blames lazy american women for the economy they sit around doing nothing, only hillary can force them to work [SEP] u.s. politics democratic vice president joe biden wants american women to get back in the workforce to help boost the economy. if we just put all the women back to work, if they were able to afford childcare, we would increase the gdp in america by close to eight tenths of one percent, he said. that s trillions of dollars over the next decade. biden made his remarks during a campaign event for hillary clinton at chatham university in pittsburgh, pennsylvania on tuesday. the state of our economy could be characterized by a single word pitiful, he argued. we re still battling recession, i don t care what the official stats are saying, america is still in recession. and we re not doing anything about it. he added that it was lazy american women who brought about the downfall of the economy, because they sit around on their behinds, doing nothing and squandering their days away when they could be improving the country that has given so much to them. i m not sure how exactly we got to this point, but we re here and we need to move. like, yesterday, he said. mark my words and mark them well, he addressed the crowd. hillary clinton is the only one who can force american women to go to work. this is true because of a number of reasons. first, she s a woman herself and not just any woman she s a self made woman. so you better believe what she s saying is true and has been tried and tested in practice plenty of times. second, hillary clinton understands how difficult it can be to give up the status of a free loader when your husband is the bread winner of the household and the wife is expected to tend to the house, the children, make sure dinner is served and always be in the mood for marital duties. she s been all that and she s learned how to break free from it, the hard way, i might add, biden continued. today s women are pampered and aren t used to rol",REAL,FAKE,0.999471,False
"maine governor joins kansas, texas, and new jersey in withdrawing from the federal muslim refugee resettlement program [SEP] maine governor joins kansas, texas, and new jersey in withdrawing from the federal muslim refugee resettlement program gov. paul lepage is withdrawing the state of maine from the federal refugee settlement program, citing a loss of confidence in its ability to safely and responsibly run the program. maine has become one of the obama regime s favorite dumping grounds for unskilled, illiterate, welfare dependant large somali muslim families. obama doesn t need a religious test for refugees because most of them are muslims wcsh6 h t kafir in a letter friday, gov. lepage informed president obama and notified the director of the office of refugee resettlement orr that maine would no longer be participating in the program. the federal government has proven to be an unwilling partner with states in ensuring that refugee settlement does not unduly put american lives at risk, lepage wrote. maine joins kansas, new jersey and texas in severing ties with the orr. in the letter, lepage included the case of refugee adnan fazeli of freeport, who was revealed in august through an fbi investigation to have died last year while fighting for the islamic state. i sincerely hope that the federal government will re evaluate its current refugee policy both the quantity and nation of origin of refugees it resettles and the vetting process they are subjected in in order to best protect the safety and interests of the american people, lepage wrote. the typical size of somali muslim refugee families places an unfair burden on hardworking american taxpayers who must fund welfare for them according to lepage s office, the governor has directed the state health and human services department dhhs to work with federal counterparts to implement a transition out of the orr program. the orr was created after the passing of the 1980 refugee act, which provided the legal basis. b",REAL,FAKE,0.999429,False
"nato builds up offensive capability on borders of russia belarus, moscow to respond [SEP] the us and nato are building up their offensive capabilities on the western borders of russia and its ally belarus, prompting moscow to take reciprocal measures, russian defense minister sergey shoigu told the two countries top military brass. those actions undermine strategic stability and are forcing russia to take reciprocal defensive measures, including some in the western theatre, the defense minister said. nato has not abandoned attempts to dictate its will to other countries through economic and political means, as well as by military force, he said, noting that an information war is in full swing. confronted with a complex security environment, russia and belarus will join forces to strengthen their mutual security, shoigu added. advanced bilateral cooperation and a common stance on major global and regional security challenges allow us to successfully tackle strengthening our defense capabilities, he stressed, adding that this approach appears to be necessary at this point, as international crisis response mechanisms have stalled, while hotspots are already near our borders. in order to address the security challenges, russia is now supplying state of the art armaments and weapons systems to the army units guarding the western borders, as well as ramping up combat training for the troops, the defense minister said. russian and belarusian militaries are constantly working on improving their interoperability and the capacity to act in large troops formations, he added. the remarks come amid nato s biggest military buildup in eastern europe since the cold war. the deployment will see up to 4,000 troops deployed in the baltic countries and poland, in addition to the more than 1,000 soldiers already stationed there on a rotational basis. a german led battalion will deploy in lithuania, the us will send troops to poland, canada is expected to station troops in latvia, and th",REAL,FAKE,0.999342,False
"naked people slaughter a sheep at auschwitz death camp [SEP] warsaw afp fourteen men and women in their twenties on friday slaughtered a sheep and took their clothes off at the former nazi german death camp according to the museum at the site in southern poland. auschwitz shuts down after nude protesters slaughter sheep, chain selves to arbeit macht frei gate . jack mendel mendelpol march 24, 2017,",FAKE,REAL,0.999278,False
